country,country_code,indicator_year,internet_users_pct,gdp_per_capita_usd,internet_api_last_updated,gdp_api_last_updated,internet_query_utc,gdp_query_utc
Bangladesh,BGD,2022,41.61650085,2716.48592780431,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
Bangladesh,BGD,2023,44.50274195,2551.01773827307,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
Bangladesh,BGD,2024,53.42171316,2593.41611680774,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
Germany,DEU,2022,91.62984383,50506.5179638543,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
Germany,DEU,2023,92.4763763,54776.7668235491,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
Germany,DEU,2024,93.49999579,56103.7323182554,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
India,IND,2022,55.9,2279.98145719369,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
India,IND,2023,60.25230026,2434.44826340989,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
India,IND,2024,64.9434967,2591.9916607122,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
UK,GBR,2022,95.46530151,47034.7795621476,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
UK,GBR,2023,95.44719696,49919.6896621586,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
UK,GBR,2024,95.4720993,53341.3131094262,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
USA,USA,2022,92.72850037,78008.6895811877,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
USA,USA,2023,93.52559662,82586.7847707894,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
USA,USA,2024,94.69380188,86169.6641581917,2026-07-13,2026-07-13,2026-07-15T20:27:09+00:00,2026-07-15T20:27:10+00:00
